Param,Caption,Emoji
video1.mp4,BeyoncÃ© is NOT happy ðŸ˜­,x01
video2.mp4,When you mess up in front of your wife on stage
video3.mp4,Bro really forgot the intro and now BeyoncÃ© giving him THAT look... sleeping on the couch tonight for sure ðŸ’€,x03
video4.mp4,This is literally the most awkward celebrity moment ever caught on camera - Jay-Z completely blanked on his own intro and you can see BeyoncÃ©'s energy shift in real time ðŸ˜­,x02
video5.mp4,BeyoncÃ©'s death stare ðŸ˜¬,x03
video6.mp4,This is why you rehearseâ€¦ BeyoncÃ© is HEATED right now
video7.mp4,The way BeyoncÃ© looked at him after he forgot the intro... somebody's sleeping on the tour bus tonight,x01
video4video8.mp4,Jay-Z forgot his own lyrics mid-concert and you can literally FEEL BeyoncÃ©'s disappointment radiating off the stage,x01
video9.mp4,Jay-Z really blanked and BeyoncÃ© is NOT playing around,x03
video10.mp4,Oops wrong intro bro ðŸ˜‚